"Indicators","Risks","Count","Proportion"
"asd_exp","High risk of bias",3,0.0087719298245614
"asd_exp","Low risk of bias",20,0.0584795321637427
"asd_exp","Unclear risk of bias",15,0.043859649122807
"boundedness","High risk of bias",23,0.0672514619883041
"boundedness","Low risk of bias",3,0.0087719298245614
"boundedness","Unclear risk of bias",12,0.0350877192982456
"design_type","High risk of bias",26,0.0760233918128655
"design_type","Low risk of bias",12,0.0350877192982456
"funding","High risk of bias",15,0.043859649122807
"funding","Low risk of bias",19,0.0555555555555556
"funding","Unclear risk of bias",4,0.0116959064327485
"incomplete_outcome_data","High risk of bias",2,0.00584795321637427
"incomplete_outcome_data","Low risk of bias",36,0.105263157894737
"peer_reviewed","High risk of bias",2,0.00584795321637427
"peer_reviewed","Low risk of bias",33,0.0964912280701754
"peer_reviewed","Unclear risk of bias",3,0.0087719298245614
"proximity_distality","High risk of bias",24,0.0701754385964912
"proximity_distality","Low risk of bias",5,0.0146198830409357
"proximity_distality","Unclear risk of bias",9,0.0263157894736842
"reporters_familiarity","Low risk of bias",19,0.0555555555555556
"reporters_familiarity","Unclear risk of bias",19,0.0555555555555556
"same_setting","Low risk of bias",31,0.0906432748538012
"same_setting","Unclear risk of bias",7,0.0204678362573099
