ID,authors,year,S1. Country,Cognitive,Adaptive functioning,Social-Communication,Linguistic,Outcome term,Group Type,Mean,SD,N,Treatment,Control,M1,SD1,N1,M2,SD2,N2,m1-m2,pooled sd,Cohens_d
3,"Ana Maria Gonzalez-Barrero, Aparna S Nadig",2019,Canada,1,0,0,1,Receptive Vocabulary,TDM,136,13.37,10,ASDB,ASDM,98,15.75,10,111,22.89,10,-13,19.64706848,-0.661676321
3,"Ana Maria Gonzalez-Barrero, Aparna S Nadig",2019,Canada,1,0,0,1,Receptive Vocabulary,TDB,118,6.2,10,ASDB,TDB,98,15.75,10,118,6.2,10,-20,11.96876142,-1.671016682
3,"Ana Maria Gonzalez-Barrero, Aparna S Nadig",2019,Canada,1,0,0,1,Receptive Vocabulary,ASDM,111,22.89,10,ASDM,TDM,111,22.89,10,136,13.37,10,-25,18.74445251,-1.333727938
3,"Ana Maria Gonzalez-Barrero, Aparna S Nadig",2019,Canada,1,0,0,1,Receptive Vocabulary,ASDB,98,15.75,10,ASDM,TDB,111,22.89,10,118,6.2,10,-7,16.76890128,-0.417439395
3,"Ana Maria Gonzalez-Barrero, Aparna S Nadig",2019,Canada,1,0,0,1,Sentence Repetition,TDM,13,2.1,10,ASDB,ASDM,8,4.14,10,9,4.24,10,-1,4.190298319,-0.238646493
3,"Ana Maria Gonzalez-Barrero, Aparna S Nadig",2019,Canada,1,0,0,1,Sentence Repetition,TDB,10,1.17,10,ASDB,TDB,8,4.14,10,10,1.17,10,-2,3.042079881,-0.657444932
3,"Ana Maria Gonzalez-Barrero, Aparna S Nadig",2019,Canada,1,0,0,1,Sentence Repetition,ASDM,9,4.24,10,ASDM,TDM,9,4.24,10,13,2.1,10,-4,3.345713676,-1.195559569
3,"Ana Maria Gonzalez-Barrero, Aparna S Nadig",2019,Canada,1,0,0,1,Sentence Repetition,ASDB,8,4.14,10,ASDM,TDB,9,4.24,10,10,1.17,10,-1,3.110184882,-0.321524295
3,"Ana Maria Gonzalez-Barrero, Aparna S Nadig",2019,Canada,1,0,0,0,BRIEF T-scores - Set-shifting,TDM,45,5.6,10,ASDB,ASDM,67,11.5,10,69,11.41,8,-2,11.46071197,-0.174509228
3,"Ana Maria Gonzalez-Barrero, Aparna S Nadig",2019,Canada,1,0,0,0,BRIEF T-scores - Set-shifting,TDB,49,9.07,10,ASDB,TDB,67,11.5,10,49,9.07,10,18,10.35651727,1.738036014
3,"Ana Maria Gonzalez-Barrero, Aparna S Nadig",2019,Canada,1,0,0,0,BRIEF T-scores - Set-shifting,ASDM,69,11.41,8,ASDM,TDM,69,11.41,8,45,5.6,10,24,8.636972488,2.77875147
3,"Ana Maria Gonzalez-Barrero, Aparna S Nadig",2019,Canada,1,0,0,0,BRIEF T-scores - Set-shifting,ASDB,67,11.5,10,ASDM,TDB,69,11.41,8,49,9.07,10,20,10.16028051,1.96844959
3,"Ana Maria Gonzalez-Barrero, Aparna S Nadig",2019,Canada,1,0,0,0,BRIEF T-scores - Working Memory,TDM,51,10.23,10,ASDB,ASDM,63,10.96,10,59,12.52,8,4,11.66819181,0.342812328
3,"Ana Maria Gonzalez-Barrero, Aparna S Nadig",2019,Canada,1,0,0,0,BRIEF T-scores - Working Memory,TDB,46,9.78,10,ASDB,TDB,63,10.96,10,46,9.78,10,17,10.38677043,1.636697385
